date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:22:41	35/35	---MC-	200	added ('OK')	text/plain	date:Wed,%2001%20Jul%202015%2021:22:00%20GMT	http://dre.ducati.it/robots.txt		(from )
00:22:42	20414/20414	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202015%2021:22:01%20GMT	http://dre.ducati.it/en/news/	C:/My%20Web%20Sites/ducati/ducati/dre.ducati.it/en/news/index.html	(from )
00:22:44	33179/33179	---M--	200	added ('OK')	text/css	date:Sat,%2016%20May%202015%2006:34:31%20GMT	http://dre.ducati.it/wp-content/themes/dre/style.css	C:/My%20Web%20Sites/ducati/ducati/dre.ducati.it/wp-content/themes/dre/style.css	(from http://dre.ducati.it/en/news/)
00:22:44	302/302	---M--	200	added ('OK')	text/css	date:Thu,%2019%20Feb%202015%2014:57:17%20GMT	http://dre.ducati.it/wp-content/plugins/qtranslate-slug/assets/css/qts-default.css?ver=4.1.5	C:/My%20Web%20Sites/ducati/ducati/dre.ducati.it/wp-content/plugins/qtranslate-slug/assets/css/qts-default31a4.css	(from http://dre.ducati.it/en/news/)
00:22:47	7199/7199	---M--	200	added ('OK')	text/javascript	date:Thu,%2019%20Feb%202015%2014:38:51%20GMT	http://dre.ducati.it/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.2.1	C:/My%20Web%20Sites/ducati/ducati/dre.ducati.it/wp-includes/js/jquery/jquery-migrate.min1576.js	(from http://dre.ducati.it/en/news/)
00:22:47	686/686	---MC-	200	added ('OK')	text/xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d%22	http://dre.ducati.it/en/news/feed/	C:/My%20Web%20Sites/ducati/ducati/dre.ducati.it/en/news/feed/index.html	(from http://dre.ducati.it/en/news/)
00:22:48	520/520	---M--	200	added ('OK')	text/javascript	date:Thu,%2019%20Feb%202015%2014:40:13%20GMT	http://dre.ducati.it/wp-includes/js/jquery/ui/effect-fade.min.js?ver=1.11.2	C:/My%20Web%20Sites/ducati/ducati/dre.ducati.it/wp-includes/js/jquery/ui/effect-fade.min4a80.js	(from http://dre.ducati.it/en/news/)
00:22:50	13437/13437	---M--	200	added ('OK')	text/javascript	date:Thu,%2019%20Feb%202015%2014:40:27%20GMT	http://dre.ducati.it/wp-includes/js/jquery/ui/effect.min.js?ver=1.11.2	C:/My%20Web%20Sites/ducati/ducati/dre.ducati.it/wp-includes/js/jquery/ui/effect.min4a80.js	(from http://dre.ducati.it/en/news/)
00:22:50	1435/1435	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Jul%202015%2021:22:11%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/ducati/ducati/www.googletagmanager.com/gtm.85445.delayed	(from http://dre.ducati.it/en/news/)
00:22:51	4523/4523	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Feb%202015%2015:41:11%20GMT	http://dre.ducati.it/wp-content/themes/dre/graphics/logo_dre.png	C:/My%20Web%20Sites/ducati/ducati/dre.ducati.it/wp-content/themes/dre/graphics/logo_dre.png	(from http://dre.ducati.it/en/news/)
00:22:52	2146/2146	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Feb%202015%2015:41:12%20GMT	http://dre.ducati.it/wp-content/themes/dre/graphics/logo_ducati.png	C:/My%20Web%20Sites/ducati/ducati/dre.ducati.it/wp-content/themes/dre/graphics/logo_ducati.png	(from http://dre.ducati.it/en/news/)
00:22:52	24827/24827	---M--	200	added ('OK')	text/javascript	date:Wed,%2017%20Jun%202015%2013:46:53%20GMT	http://dre.ducati.it/wp-content/themes/dre/js/_dre_script.js?ver=1	C:/My%20Web%20Sites/ducati/ducati/dre.ducati.it/wp-content/themes/dre/js/_dre_script68b3.js	(from http://dre.ducati.it/en/news/)
00:22:54	92651/92651	---M--	200	added ('OK')	text/javascript	date:Tue,%2014%20Apr%202015%2016:18:34%20GMT	http://dre.ducati.it/wp-content/themes/dre/js/raphael-min.js	C:/My%20Web%20Sites/ducati/ducati/dre.ducati.it/wp-content/themes/dre/js/raphael-min.js	(from http://dre.ducati.it/en/news/)
00:22:56	95807/95807	---M--	200	added ('OK')	text/javascript	date:Thu,%2019%20Feb%202015%2014:39:14%20GMT	http://dre.ducati.it/wp-includes/js/jquery/jquery.js?ver=1.11.1	C:/My%20Web%20Sites/ducati/ducati/dre.ducati.it/wp-includes/js/jquery/jquery90f9.js	(from http://dre.ducati.it/en/news/)
